Unnamed: 0,book_id,book_name,author_name,num_tokens
423,174,The Picture of Dorian Gray,Oscar Wilde,110466
424,74734,Caleb Field :  A tale of the Puritans,Mrs. Oliphant,57959
425,2097,The Sign of the Four,Arthur Conan Doyle,61886
426,5090,I will repay,Baroness Emmuska Orczy Orczy,92880
427,74796,"Viola's vanity :  or, A bitter expiation",Mrs. Alex. McVeigh Miller,78723
428,42049,"Frank Merriwell's Champions; Or, All in the Game",Burt L. Standish,107661
429,44951,"The Motor Boys in Strange Waters; or, Lost in a Floating Forest",Clarence Young,68362
430,12345,"Friday, the Thirteenth: A Novel",Thomas William Lawson,66528
431,38777,Lad: A Dog,Albert Payson Terhune,116294
432,10358,The Boss of Little Arcady,Harry Leon Wilson,124653
433,2509,The Lani People,Jesse F. Bone,85456
435,51060,The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,98517
436,863,The Mysterious Affair at Styles,Agatha Christie,85523
437,23728,Walter and the Wireless,Sara Ware Bassett,85853
438,12187,The Mystery of 31 New Inn,R. Austin Freeman,109065
439,26282,"The Witch of Salem; or, Credulity Run Mad",John R. Musick,115781
440,38742,The Corner House Girls Under Canvas,Grace Brooks Hill,77864
441,20058,The Napoleon of Notting Hill,G. K. Chesterton,79882
442,50109,The Mysterious Stranger: A Romance,Mark Twain,53501
443,1026,The Diary of a Nobody,George Grossmith and Weedon Grossmith,64726
444,36577,A Claim on Klondyke: A Romance of the Arctic El Dorado,Edward Roper,105212
445,620,Sylvie and Bruno,Lewis Carroll,96414
446,28489,The Belovéd Vagabond,William John Locke,123560
